time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Fix_quality,.Zone,.Letter
2022/10/06/11:58:44.037502,0,57524,0,GPS1_Frame,42.32817077636719,-71.1015853881836,56.20000076293945,326845.28125,4688352.5,4,19,T
2022/10/06/11:58:45.045626,0,57525,0,GPS1_Frame,42.32817840576172,-71.10157775878906,56.20000076293945,326845.6875,4688353.5,4,19,T
2022/10/06/11:58:46.029919,0,57526,0,GPS1_Frame,42.32818603515625,-71.10157775878906,56.20000076293945,326846.0625,4688354.5,4,19,T
2022/10/06/11:58:47.035850,0,57527,0,GPS1_Frame,42.32819747924805,-71.10157012939453,56.20000076293945,326846.40625,4688355.5,4,19,T
2022/10/06/11:58:48.039360,0,57528,0,GPS1_Frame,42.32820510864258,-71.10157012939453,56.20000076293945,326846.6875,4688356.5,4,19,T
2022/10/06/11:58:49.042603,0,57529,0,GPS1_Frame,42.32821273803711,-71.1015625,56.20000076293945,326847.09375,4688357.5,4,19,T
2022/10/06/11:58:50.037713,0,57530,0,GPS1_Frame,42.328224182128906,-71.10155487060547,56.20000076293945,326847.53125,4688358.5,4,19,T
2022/10/06/11:58:51.039826,0,57531,0,GPS1_Frame,42.32823181152344,-71.10155487060547,56.29999923706055,326847.96875,4688359.0,4,19,T
2022/10/06/11:58:52.039441,0,57532,0,GPS1_Frame,42.32823944091797,-71.10154724121094,56.29999923706055,326848.375,4688360.0,4,19,T
2022/10/06/11:58:53.037801,0,57533,0,GPS1_Frame,42.328250885009766,-71.1015396118164,56.29999923706055,326848.84375,4688361.0,4,19,T
2022/10/06/11:58:54.039217,0,57534,0,GPS1_Frame,42.3282585144043,-71.1015396118164,56.20000076293945,326849.25,4688362.0,4,19,T
2022/10/06/11:58:55.034574,0,57535,0,GPS1_Frame,42.32826614379883,-71.10153198242188,56.29999923706055,326849.65625,4688363.0,4,19,T
2022/10/06/11:58:56.039506,0,57536,0,GPS1_Frame,42.32827377319336,-71.10153198242188,56.29999923706055,326850.03125,4688364.0,4,19,T
2022/10/06/11:58:57.039874,0,57537,0,GPS1_Frame,42.32828140258789,-71.10152435302734,56.29999923706055,326850.5,4688364.5,4,19,T
2022/10/06/11:58:58.040710,0,57538,0,GPS1_Frame,42.328285217285156,-71.10151672363281,56.29999923706055,326851.0,4688365.5,4,19,T
2022/10/06/11:58:59.040017,0,57539,0,GPS1_Frame,42.32829284667969,-71.10151672363281,56.20000076293945,326851.4375,4688366.0,4,19,T
2022/10/06/11:59:00.042094,0,57540,0,GPS1_Frame,42.32830047607422,-71.10150909423828,56.29999923706055,326851.75,4688367.0,4,19,T
2022/10/06/11:59:01.047663,0,57541,0,GPS1_Frame,42.32830810546875,-71.10150146484375,56.29999923706055,326852.15625,4688367.5,4,19,T
2022/10/06/11:59:02.039155,0,57542,0,GPS1_Frame,42.32831573486328,-71.10150146484375,56.29999923706055,326852.5625,4688368.5,4,19,T
2022/10/06/11:59:03.040542,0,57543,0,GPS1_Frame,42.32832336425781,-71.10149383544922,56.29999923706055,326852.96875,4688369.5,4,19,T
2022/10/06/11:59:04.033829,0,57544,0,GPS1_Frame,42.328330993652344,-71.10149383544922,56.29999923706055,326853.375,4688370.5,4,19,T
2022/10/06/11:59:05.039621,0,57545,0,GPS1_Frame,42.328338623046875,-71.10148620605469,56.29999923706055,326853.8125,4688371.0,4,19,T
2022/10/06/11:59:06.052951,0,57546,0,GPS1_Frame,42.32835006713867,-71.10147857666016,56.29999923706055,326854.25,4688372.0,4,19,T
2022/10/06/11:59:07.042907,0,57547,0,GPS1_Frame,42.3283576965332,-71.10147857666016,56.29999923706055,326854.6875,4688373.0,4,19,T
2022/10/06/11:59:08.038501,0,57548,0,GPS1_Frame,42.328365325927734,-71.10147094726562,56.29999923706055,326855.15625,4688374.0,4,19,T
2022/10/06/11:59:09.039922,0,57549,0,GPS1_Frame,42.32837677001953,-71.1014633178711,56.29999923706055,326855.5625,4688375.0,4,19,T
2022/10/06/11:59:10.041193,0,57550,0,GPS1_Frame,42.32838439941406,-71.1014633178711,56.29999923706055,326856.0,4688376.0,4,19,T
2022/10/06/11:59:11.038758,0,57551,0,GPS1_Frame,42.328392028808594,-71.10145568847656,56.29999923706055,326856.375,4688377.0,4,19,T
2022/10/06/11:59:12.037870,0,57552,0,GPS1_Frame,42.328399658203125,-71.10145568847656,56.29999923706055,326856.65625,4688378.0,4,19,T
2022/10/06/11:59:13.033269,0,57553,0,GPS1_Frame,42.328407287597656,-71.10145568847656,56.29999923706055,326856.53125,4688378.5,4,19,T
2022/10/06/11:59:14.039774,0,57554,0,GPS1_Frame,42.32841110229492,-71.1014633178711,56.29999923706055,326855.9375,4688379.0,4,19,T
2022/10/06/11:59:15.042628,0,57555,0,GPS1_Frame,42.32841110229492,-71.10147094726562,56.29999923706055,326855.1875,4688379.5,4,19,T
2022/10/06/11:59:16.042800,0,57556,0,GPS1_Frame,42.32841491699219,-71.10147857666016,56.400001525878906,326854.34375,4688379.5,4,19,T
2022/10/06/11:59:17.039019,0,57557,0,GPS1_Frame,42.32841873168945,-71.10149383544922,56.29999923706055,326853.5,4688380.0,4,19,T
2022/10/06/11:59:18.039490,0,57558,0,GPS1_Frame,42.32842254638672,-71.10150146484375,56.400001525878906,326852.5625,4688380.5,4,19,T
2022/10/06/11:59:19.044943,0,57559,0,GPS1_Frame,42.328426361083984,-71.10151672363281,56.400001525878906,326851.59375,4688381.0,4,19,T
2022/10/06/11:59:20.041132,0,57560,0,GPS1_Frame,42.32843017578125,-71.10152435302734,56.400001525878906,326850.65625,4688381.0,4,19,T
2022/10/06/11:59:21.042614,0,57561,0,GPS1_Frame,42.32843017578125,-71.1015396118164,56.5,326849.6875,4688381.5,4,19,T
2022/10/06/11:59:22.035996,0,57562,0,GPS1_Frame,42.328433990478516,-71.10154724121094,56.5,326848.71875,4688382.0,4,19,T
2022/10/06/11:59:23.042665,0,57563,0,GPS1_Frame,42.32843780517578,-71.1015625,56.5,326847.75,4688382.5,4,19,T
2022/10/06/11:59:24.044535,0,57564,0,GPS1_Frame,42.32844161987305,-71.10157775878906,56.5,326846.78125,4688382.5,4,19,T
2022/10/06/11:59:25.042711,0,57565,0,GPS1_Frame,42.32844543457031,-71.1015853881836,56.5,326845.8125,4688383.0,4,19,T
2022/10/06/11:59:26.043434,0,57566,0,GPS1_Frame,42.32844924926758,-71.10160064697266,56.599998474121094,326844.875,4688383.5,4,19,T
2022/10/06/11:59:27.042448,0,57567,0,GPS1_Frame,42.328453063964844,-71.10160827636719,56.599998474121094,326843.84375,4688384.0,4,19,T
2022/10/06/11:59:28.042002,0,57568,0,GPS1_Frame,42.32845687866211,-71.10162353515625,56.599998474121094,326842.8125,4688384.5,4,19,T
2022/10/06/11:59:29.040404,0,57569,0,GPS1_Frame,42.328460693359375,-71.10163879394531,56.599998474121094,326841.8125,4688384.5,4,19,T
2022/10/06/11:59:30.039022,0,57570,0,GPS1_Frame,42.328460693359375,-71.10164642333984,56.70000076293945,326840.8125,4688385.0,4,19,T
2022/10/06/11:59:31.037451,0,57571,0,GPS1_Frame,42.32846450805664,-71.1016616821289,56.70000076293945,326839.71875,4688385.5,4,19,T
2022/10/06/11:59:32.039850,0,57572,0,GPS1_Frame,42.328468322753906,-71.10167694091797,56.70000076293945,326838.6875,4688386.0,4,19,T
2022/10/06/11:59:33.042875,0,57573,0,GPS1_Frame,42.32847213745117,-71.1016845703125,56.79999923706055,326837.65625,4688386.5,4,19,T
2022/10/06/11:59:34.038470,0,57574,0,GPS1_Frame,42.32847595214844,-71.10169982910156,56.79999923706055,326836.65625,4688387.0,4,19,T
2022/10/06/11:59:35.040978,0,57575,0,GPS1_Frame,42.3284797668457,-71.1017074584961,56.79999923706055,326835.625,4688387.0,4,19,T
2022/10/06/11:59:36.040787,0,57576,0,GPS1_Frame,42.32848358154297,-71.10172271728516,56.79999923706055,326834.59375,4688387.5,4,19,T
2022/10/06/11:59:37.044038,0,57577,0,GPS1_Frame,42.328487396240234,-71.10173797607422,56.900001525878906,326833.5625,4688388.0,4,19,T
