time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter
2022/09/23/15:29:58.319981,0,70198,0,GPS1_Frame,42.3327166666667,-71.09242,18.6,327612.761227477,4688838.75629422,19,T
2022/09/23/15:29:59.314166,0,70199,0,GPS1_Frame,42.3327116666667,-71.0924316666667,18.7,327611.78634995,4688838.224733,19,T
2022/09/23/15:30:00.354699,0,70200,0,GPS1_Frame,42.3327066666667,-71.0924416666667,18.7,327610.948788967,4688837.68979324,19,T
2022/09/23/15:30:01.315804,0,70201,0,GPS1_Frame,42.3327016666667,-71.0924516666667,18.7,327610.111227854,4688837.15485359,19,T
2022/09/23/15:30:02.318504,0,70202,0,GPS1_Frame,42.332695,-71.0924616666667,18.6,327609.269112939,4688836.43484348,19,T
2022/09/23/15:30:03.351943,0,70203,0,GPS1_Frame,42.33269,-71.0924716666667,18.8,327608.431551543,4688835.89990402,19,T
2022/09/23/15:30:04.353022,0,70204,0,GPS1_Frame,42.3326833333333,-71.0924833333333,19,327607.452119558,4688835.18327283,19,T
2022/09/23/15:30:05.316282,0,70205,0,GPS1_Frame,42.3326783333333,-71.0924933333333,19.1,327606.61455787,4688834.64833358,19,T
2022/09/23/15:30:06.316206,0,70206,0,GPS1_Frame,42.3326716666667,-71.092505,19.2,327605.635125524,4688833.93170264,19,T
2022/09/23/15:30:07.317536,0,70207,0,GPS1_Frame,42.3326666666667,-71.092515,19.2,327604.797563544,4688833.39676359,19,T
2022/09/23/15:30:08.319540,0,70208,0,GPS1_Frame,42.3326616666667,-71.0925233333333,19.1,327604.097318229,4688832.85844586,19,T
2022/09/23/15:30:09.314383,0,70209,0,GPS1_Frame,42.3326566666667,-71.0925333333333,19.1,327603.259756002,4688832.32350699,19,T
2022/09/23/15:30:10.347071,0,70210,0,GPS1_Frame,42.3326533333333,-71.0925433333333,19.1,327602.426747488,4688831.97363877,19,T
2022/09/23/15:30:11.316753,0,70211,0,GPS1_Frame,42.3326516666667,-71.0925516666667,19,327601.735609575,4688831.80546235,19,T
2022/09/23/15:30:12.390638,0,70212,0,GPS1_Frame,42.3326483333333,-71.0925583333333,19,327601.17723456,4688831.44883661,19,T
2022/09/23/15:30:13.317700,0,70213,0,GPS1_Frame,42.3326483333333,-71.09256,19.1,327601.039917738,4688831.45221546,19,T
2022/09/23/15:30:14.315917,0,70214,0,GPS1_Frame,42.3326466666667,-71.092565,18.9,327600.623413382,4688831.27728146,19,T
2022/09/23/15:30:15.383380,0,70215,0,GPS1_Frame,42.3326466666667,-71.0925666666667,18.6,327600.486096556,4688831.28066032,19,T
2022/09/23/15:30:16.348193,0,70216,0,GPS1_Frame,42.3326466666667,-71.0925716666667,18.3,327600.074146084,4688831.2907969,19,T
2022/09/23/15:30:17.347885,0,70217,0,GPS1_Frame,42.332645,-71.0925766666667,18.1,327599.657641689,4688831.11586296,19,T
